数据库：主要城市年度数据,,,,,
指标：年末总人口(万人),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京,1345.2,1333.4,1316.34,1297.46,1277.92
天津,1026.9,1016.66,1003.97,993.2,996.44
石家庄,1028.84,1024.93,1003.15,1005.33,997.29
太原,367.39,369.74,367.45,365.84,365.02
呼和浩特,238.58,237.88,233.96,230.32,232.26
沈阳,730.41,730.84,727.11,724.79,722.69
大连,593.56,594.29,591.45,590.31,588.54
长春,753.83,754.55,752.67,756.9,761.77
哈尔滨,961.37,987.29,995.21,993.53,993.3
上海,1442.97,1438.69,1432.34,1426.93,1419.36
南京,653.4,648.72,643.09,638.48,636.36
杭州,723.55,715.76,706.61,700.52,695.71
宁波,586.57,583.78,580.15,577.71,576.4
合肥,717.72,712.81,711.5,710.53,706.13
福州,678.36,674.94,655.49,655.27,649.41
厦门,211.15,203.44,196.78,190.92,185.26
南昌,520.38,517.73,510.08,507.87,504.95
济南,625.73,621.61,613.25,609.21,606.64
青岛,783,780.64,773.67,769.56,766.36
郑州,810.49,937.8,919.1,1072.5,1010.1
武汉,829.27,827.31,822.05,821.71,827.23
长沙,680.36,671.41,662.81,660.62,656.62
广州,854.19,842.42,832.31,822.3,814.58
深圳,354.99,332.21,310.47,287.62,267.9
南宁,740.23,729.66,724.43,713.5,711.49
海口,164.8,165.31,163.23,161.59,162.39
重庆,3371.84,3375.2,3358.42,3343.44,3329.81
成都,1228.05,1210.74,1187.99,1173.3,1163.28
贵阳,391.79,382.91,379.09,374.53,376.12
昆明,555.57,550.5,546.79,543.48,544.04
拉萨,53.03,52.73,60.12,50,57.61
西安,815.66,815.29,806.93,795.98,791.83
兰州,321.9,374.67,368.57,321.52,323.29
西宁,201.17,202.64,226.76,198.46,222.8
银川,179.23,196,172.63,167.22,162.23
乌鲁木齐,266.83,266.91,262.93,257.8,249.35
数据来源：国家统计局,,,,,